id,response
546,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Reinforcement Learning"", ""Visual Reinforcement Learning"", ""Image Encoder"", ""Generalizable visual reinforcement learning"", ""Pre-trained Image Encoder"", ""Off-the-shelf visual representation"", ""ResNet model"", ""DMControl Generalization Benchmark"", ""DMControl Manipulation Tasks"", ""Drawer World"", ""CARLA""],
    ""Q4"": [""Video background""]
}"
887,"{
 ""Q1"": ""Another type of attack"", 
 ""Q2"": ""Specific adversarial defence methods"",
 ""Q3"": [""Differential privacy"", ""Randomized SGD"", ""Composition theorems"", ""Renyi DP bounds"", ""Noisy stochastic gradient descent"", ""Privacy amplification"", ""Sub-sampling"", ""Randomized post-processing""],
 ""Q4"": ""None""
}"
570,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""label-invariant augmentation"", ""graph classification"", ""contrastiveness-based augmentation"", ""graph contrastive learning"", ""graph neural network""],
    ""Q4"": ""None""
}"
629,"{
    ""Q1"": ""Evasion attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Image restoration"", ""Object detection"", ""Adversarial attack"", ""ADAM-like adversarial attack"", ""Dehazing"", ""Low light enhancement"", ""Domain adaptation"", ""Multi-task learning""],
    ""Q4"": ""Not clear""
}
"
573,"{
    ""Q1"": ""Another type of attack"", 
    ""Q2"": ""Specific adversarial attack methods"",
    ""Q3"": [""backdoor attacks"",""prompt-based learning"",""NLP"",""continuous prompts"",""few-shot scenarios"",""security problems"",""vulnerability"",""BadPrompt"",""lightweight"",""task-adaptive algorithm"",""candidate triggers"",""targeted label"",""non-targeted labels"",""adaptive trigger optimization algorithm""],
    ""Q4"": ""None""
}"
582,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Fair robust learning"", ""Adversarial training"", ""Classwise accuracy"", ""Robustness discrepancies"", ""Attack robustness"", ""Bias""],
    ""Q4"": ""Not clear""
}"
584,"{
    ""Q1"": ""None"", 
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Generalization"",""Image-based Reinforcement Learning"", ""Spectrum Random Masking"", ""Data Diversity"", ""Augmentations"", ""Frequency Domain""],
    ""Q4"": ""RL Tasks""
}
"
595,"{
    ""Q1"": ""Another type of attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Model inversion attack"", ""Interpretable models"", ""Deep neural networks"", ""Explainable AI"", ""Information leakage"", ""Generative Noise Injector for Model Explanations (GNIME)"", ""Minimax game"", ""Inversion attack network"", ""Noise generator network"", ""Facial recognition models""],
    ""Q4"": ""None""
}
"
621,"{
    ""Q1"": ""Evasion attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Adversarial defense"", ""Adversarial examples"", ""Adversarial transferability"", ""Deep neural networks"", ""Random Normalization Aggregation"", ""RNA"", ""Normalization layers""],
    ""Q4"": None
}
"
600,"{
    ""Q1"": ""Evasion attack"", 
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [ ""Differentiable architecture search (DARTS)"", ""Zero-order optimization"", ""Neural Architecture Search (NAS)"", ""Gradient descent algorithm"", ""Loss landscape"", ""Gradient estimation"", ""Robustness"", ""Instability issue""],
    ""Q4"": ""None""
}"
601,"{
    ""Q1"": ""None"", 
    ""Q2"": ""Specific adversarial defence methods"", 
    ""Q3"": [""pre-trained language models"", ""efficiency"", ""generalization"", ""out-of-distribution"", ""subnetworks"", ""dataset bias"", ""performance"", ""compression methods""],
    ""Q4"": ""Natural Language Understanding""
}"
605,"{
""Q1"": ""Evasion attack"",
""Q2"": ""Specific adversarial attack methods"",
""Q3"": [""Adversarial attacks"", ""Multi-object scenes"", ""Generative models"", ""CLIP"", ""Vision-language model"", ""Perturbation generators"", ""Transferable perturbations"", ""Black-box settings"", ""Victim classifiers"", ""Misclassification""],
""Q4"": None
}
"
611,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Factored Distributionally Robust Optimization (Factored-DRO)"", ""environmental process"", ""distribution shifts"", ""context distribution"", ""reward generating process"", ""Factored-DRO objective"", ""estimators"", ""consistent"", ""converge asymptotically"", ""algorithm"", ""empirical results"", ""voting outcomes"", ""scene classification""],
    ""Q4"": [""real-world datasets""]
}"
631,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"", 
    ""Q2"": ""Specific adversarial defence methods"", 
    ""Q3"": [""Adversarial training"",""Robust machine learning"",""Phase transition"",""Linear regression"",""Deep neural networks""],
    ""Q4"":""Not clear""
}"
632,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""adversarial training"", ""domain generalization"", ""semantic segmentation"", ""style augmentation"", ""channel-wise mean and standard deviation"", ""adversarial style feature"", ""adversarial image"", ""image classification"", ""overfitting"", ""robust model training""],
    ""Q4"": ""Urban-Scene Segmentation""
}
"
637,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [ ""Monocular depth estimation"", ""Deep neural networks"", ""Image-level normalization"", ""Hierarchical normalization"", ""Multi-scale depth normalization"", ""Spatial information"", ""Depth distributions"", ""Fine-grained details"", ""Accuracy"" ],
    ""Q4"": ""None""
}"
661,"{
    ""Q1"": ""None"",
    ""Q2"": ""Other aspects of adversarial machine learning"",
    ""Q3"": [""Bayesian Risk Markov Decision Processes"", ""parameter uncertainty"", ""MDPs"", ""risk functional"", ""Bayesian posterior distributions"", ""conditional value-at-risk"", ""CVaR"", ""approximation algorithm"", ""gambler's betting problem"", ""inventory control problem""],
    ""Q4"": ""Not Clear""
}"
663,"{
  ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
  ""Q2"": ""Specific adversarial defence methods"",
  ""Q3"": [""Out-of-distribution detection"", ""Deep models"", ""OOD data"", ""Classification model"", ""Watermarking"", ""Feature perturbation""],
  ""Q4"": ""Not clear""
}"
664,"{
    ""Q1"": ""Another type of attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""deep neural networks"", ""dataset ownership verification"", ""poison-only backdoor watermarks"", ""untargeted backdoor watermark"", ""poisoned-label"", ""clean-label""],
    ""Q4"": ""None""
}"
669,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""adversarial training"", ""unlabeled data"", ""attack strength"", ""quality of unlabeled data"", ""adversarial robustness"", ""generated data"", ""real data"", ""algorithm"", ""online adjustment"", ""weight""],
    ""Q4"": ""None""
}"
697,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Finite-sum minimax optimization"", ""Stochastic gradient algorithms"", ""Smooth and strongly convex-strongly concave"", ""Proximal point method"", ""Random Reshuffling"", ""Single Shuffling"", ""Shuffle Once"", ""Uniform sampling"", ""Nonconvex-nonconcave objectives"", ""Polyak-Lojasiewicz inequality"", ""Data-ordering attacks"", ""Incremental gradient method""],
    ""Q4"": ""None""
}
"
703,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Synchronous training"", ""Asynchronous training"", ""Recommendation models"", ""Parameter server"", ""All-reduce"", ""Cluster status"", ""Hyper-parameter tuning"", ""Gradient values"", ""Stale gradients"", ""Global Batch gradients Aggregation"", ""Token-control"", ""Convergence analysis"", ""Robustness"", ""Industrial-scale recommendation tasks"", ""AUC metric"", ""Hardware resource"", ""Speed up"" ],
    ""Q4"": [""Recommendation models""]
}
"
705,"{
""Q1"": ""None"",
""Q2"": ""Other aspects of adversarial machine learning"",
""Q3"": [""Abstract reasoning"", ""Logic rules"", ""Unsupervised learning"", ""Rule representations"", ""Internal inferences"", ""Reasoner"", ""Referrer"", ""PGM"", ""I-RAVEN""],
""Q4"": [""None""]
}"
718,"{
    ""Q1"": ""Another type of attack"", 
    ""Q2"": ""Specific adversarial attack methods"", 
    ""Q3"": [""Lattice cryptography"", ""quantum resistant"", ""Learning With Errors (LWE)"", ""Modular arithmetic"", ""Transformer"", ""Machine learning attack""], 
    ""Q4"": [""Cryptography""]
}
"
709,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""u-HuBERT"", ""Mixed-Modal Speech Pretraining"", ""Zero-Shot Transfer"", ""Unlabeled Modality"", ""audio-visual speech"", ""masked cluster prediction"", ""modality dropout"", ""speech recognition"", ""word error rate""],
    ""Q4"": [""Speech Processing""]
}"
710,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""LogiGAN"", ""Logical Reasoning"", ""Adversarial Pre-training"", ""Language models"", ""Automatic identification"", ""Logical statements"", ""Generator-Verifier architecture"", ""Sequential GAN"", ""Pre-training"", ""Target length"", ""Reasoning abilities"", ""Ablation studies""],
    ""Q4"": ""None""
}"
721,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Online Minimax Multiobjective Optimization"", ""Multicalibeating"",""Regret"",""Adversary"",""Vector-valued game"",""Minimax theorem"",""Algorithm"",""Optimal bounds"",""Efficient algorithms"",""Blackwell's approachability theorem"",""Forecasters""],
    ""Q4"": ""None""
}"
722,"{
    ""Q1"": ""Evasion attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Adversarial machine learning"",""Generative Adversarial Networks (GANs)"", ""Data privacy"", ""Confounder property"", ""Spurious correlation"", ""Transferability"", ""Stability""],
    ""Q4"": [""Image classification"", ""Natural object datasets"", ""Medical datasets""]
}"
724,"{
    ""Q1"": ""None"",
    ""Q2"": ""Other aspects of adversarial machine learning"",
    ""Q3"": [""rent division"", ""envy-free"", ""fairness"", ""robustness"", ""lexislack solution"", ""valuations"", ""radius"", ""probability distribution"", ""learning theory"", ""integer linear programming""],
    ""Q4"": [""Roommates""]
}"
728,"{
    ""Q1"": ""None"", 
    ""Q2"": ""Specific adversarial defence methods"", 
    ""Q3"": [""Transformer"",""Tracking"",""CNN"",""Siamese"",""Robustness"",""Motion token"",""Temporal context"",""SUC score"",""Baseline""], 
    ""Q4"": ""None""
}
"
729,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Inverse reinforcement learning"", ""Receding Horizon"", ""high-dimensional"", ""noisy"", ""continuous systems"", ""black-box dynamic models"", ""scalability"", ""robustness"", ""stitching"", ""curse of dimensionality"", ""state-dependent cost function"", ""disentangled"", ""benchmark tasks"", ""cumulative error"", ""task duration""],
    ""Q4"": ""None""
}"
755,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Robust learning"", ""Multiclass setting"", ""Probably Approximately Correct (PAC) learning"", ""Adversarial graph dimension (AG-dimension)"", ""Adversarial Natarajan dimension (AN-dimension)"", ""Sample complexity"", ""Linear multiclass predictors""],
    ""Q4"": ""None""
}"
752,"{
""Q1"": ""Another type of attack"", 
""Q2"": ""Specific adversarial attack methods"", 
""Q3"": [""Recommender systems"", ""Injective attacks"", ""Fake user budget"", ""Open platforms"", ""Target item"", ""Difficulty-agnostic"",""Diversity-deficit"", ""Difficulty-aware"", ""Diversity-aware"", ""DADA""], 
""Q4"": ""None""
}"
760,"{
  ""Q1"": ""Poisoning attack"", 
  ""Q2"": ""Specific adversarial defence methods"",
  ""Q3"": [""backdoor attack"", ""convolutional neural networks (CNN)"", ""poisoned samples"", ""backdoor neurons"", ""pre-activation distributions"", ""differential entropy"", ""Kullback-Leibler divergence"", ""benign sample distribution"", ""poisoned statistics""],
  ""Q4"":""None""
}
"
778,"{
    ""Q1"": ""None"", 
    ""Q2"": ""Other aspects of adversarial machine learning"", 
    ""Q3"": [""Kernel Memory Networks"", ""Memory Modeling"", ""Noise robustness"", ""Neuron classification"", ""Interpolation"", ""Feed-forward networks"", ""Recurrent networks"", ""Hopfield networks"", ""Kanerva's model"", ""Storage capacity"", ""Dendritic non-linearities"", ""Synaptic cross-talk""], 
    ""Q4"": ""None""
}"
783,"{
    ""Q1"": ""Data extraction attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""collaborative inference systems"", ""reconstruction attacks"", ""defense countermeasures"", ""latent privacy features"", ""obfuscated representations"", ""Sensitive Feature Distillation (SFD)""],
    ""Q4"": None
}"
790,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Mixup"", ""Regularizer"", ""Accuracy"", ""Out-of-distribution robustness"", ""Predictive uncertainty estimation"", ""Covariate shifts"", ""OOD detection"", ""High-entropy"", ""In-distribution samples"", ""Out-of-distribution samples"", ""RegMixup"", ""Vision datasets"", ""ImageNet"", ""CIFAR-10/100"", ""Uncertainty estimation""],
    ""Q4"": [""Vision""]
}
"
793,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"", 
    ""Q2"": ""Specific adversarial defence methods"", 
    ""Q3"": [""lifelong learning"", ""neural networks"", ""predictive coding"", ""catastrophic forgetting"", ""Sequential Neural Coding Network"", ""back-propagation"", ""neurocognitive theory"", ""biologically-plausible"", ""basal ganglia"", ""self-organizing system"", ""SplitMNIST"", ""Split Fashion MNIST""],
    ""Q4"": ""None""
}
"
818,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [
        ""Statistical online inference"",
        ""Averaged stochastic approximation"",
        ""Stochastic gradient descent"",
        ""Q-learning"",
        ""Markov chain"",
        ""Functional central limit theorem"",
        ""Confidence intervals"",
        ""Random scaling"",
        ""Inference methods""
    ],
    ""Q4"": ""None""
}"
821,"{
    ""Q1"": ""None"",
    ""Q2"": ""Other aspects of adversarial machine learning"",
    ""Q3"": [""Averaging"", ""merging"", ""models"", ""Fisher-Weighted"", ""likelihood"", ""posteriors"", ""Laplace approximation"", ""Fisher information"", ""fine-tuning"", ""model ensembling"", ""transfer learning"", ""domain-adaptive pre-training""],
    ""Q4"": []
}"
825,"{
    ""Q1"": ""None"",
    ""Q2"": ""Other aspects of adversarial machine learning"",
    ""Q3"": [
        ""controlled sparsity"",
        ""constrained optimization"",
        ""sparse learning"",
        ""sparsity-inducing penalties"",
        ""gate mechanism"",
        ""end-to-end fashion""
    ],
    ""Q4"": []
}
"
826,"{
    ""Q1"": ""None"",
    ""Q2"": ""Other aspects of adversarial machine learning"",
    ""Q3"": [""Drawing out of Distribution"", ""Neuro-Symbolic Generative Models"", ""Perceptual inputs"", ""Human intelligence"", ""Stroke-based drawing"", ""Unsupervised amortized inference"", ""Symbolic stroke model"", ""Interpretability"", ""Generalization"", ""Zero-shot transfer"", ""MNIST"", ""Quickdraw"", ""Omniglot"", ""One-shot classification"", ""Concept-learning systems"" ],
    ""Q4"": ""None""
}"
837,"{
    ""Q1"": ""Backdoor attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""backdoor attack"", ""deep neural networks"", ""anti-backdoor learning"", ""poisoning attack"", ""adaptive attack"", ""piece-wise linear functions"", ""training method"", ""attack success rate"", ""poisoning backdoor attack"", ""natural backdoor attack""],
    ""Q4"": ""None""
}"
839,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Adversarial Decision Making"", ""Online Learning"", ""Decision Making"", ""Bandits"", ""Reinforcement Learning"", ""Modeling Assumptions"", ""Sample-efficient Learning"", ""Decision-Estimation Coefficient"", ""Regret"", ""Convex Hull"", ""Model Class"", ""Information Ratio"", ""Exploration-by-Optimization""],
    ""Q4"": ""None""
}
"
840,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Distributionally robust optimization"", ""Non-convex optimization"", ""Decision making"", ""Facility location"", ""Security games"", ""Variance regularized form"", ""Mixed-integer second-order cone program"", ""Clustering"", ""Stratified sampling"", ""Global optimality guarantees""],
    ""Q4"": None
}
"
845,"{
  ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
  ""Q2"": ""Specific adversarial defence methods"",
  ""Q3"": [""Uncertainty estimation"",""multi-view data"",""classification framework"",""out-of-domain sample detection"",""classifier"",""expected calibration error"",""robustness to noise"",""accuracy""],
  ""Q4"": [""real-world datasets""]
}"
853,"{
  ""Q1"": ""Evasion attack"",
  ""Q2"": ""Specific adversarial attack methods"",
  ""Q3"": [""Adversarial attacks"", ""Computer vision"", ""Pixel-level perturbations"", ""Latent representations"", ""Image generators"", ""Interpretable adversarial attacks"", ""Targeted"", ""Universal"", ""Disguised"", ""Physically-realizable"", ""Black-box attacks"", ""ImageNet scale"", ""Practical interpretability tool"", ""Spurious associations"", ""Features"", ""Classes"", ""Copy/paste attacks"", ""Targeted misclassification"", ""Rigorous interpretability research"", ""Model understanding"", ""Diagnose brittle feature associations""],
  ""Q4"": ""None""
}"
857,"{
    ""Q1"": ""None"", 
    ""Q2"": ""Specific adversarial attack methods"", 
    ""Q3"": [""Generative Adversarial Networks"", ""Multiple Specialized Discriminators"", ""Mode collapse problem"", ""Multiple choice learning"", ""Latent data space"", ""Real data space""], 
    ""Q4"": ""None""
}"
858,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""nonstationary"",""dual averaging"",""online fair allocation"",""PACE algorithm"",""competitive equilibrium"",""large-scale systems"",""adversarially-corrupted stochastic input"",""ergodic input"",""block-independent input"",""periodic input"",""fair allocation""],
    ""Q4"": ""None""
}
"
861,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": ""Semantic segmentation, annotation costs, unsupervised segmentation, language-image pre-training, CLIP, image representations, zero-shot transfer, concept names, pixel labels, specialist segmenters, extremely rare objects"",
    ""Q4"": ""None""
}
"
862,"{
    ""Q1"":""None"",
    ""Q2"":""Specific adversarial defence methods"",
    ""Q3"":[""repeated first-price auctions"", ""digital advertising"", ""bid prediction"", ""machine learning"", ""minimax regret bounds"", ""sparsity""],
    ""Q4"":""None""
}
"
863,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Learned optimizers"",""neural networks"",""machine learning models"",""meta-training"",""dynamical systems"",""optimization algorithms"",""inductive biases"",""blackbox optimizers"",""noisy quadratic model"",""eigenvalues"",""training dynamics"",""architecture"",""meta-training procedure"",""optimization performance"",""generalization""],
    ""Q4"": ""None""
}"
869,"{
    ""Q1"": ""None"",
    ""Q2"": ""Other aspects of adversarial machine learning"",
    ""Q3"": [""heterogeneous environments"", ""data-driven decision-making"", ""worst-case regret"", ""Sample Average Approximation"", ""rate-optimal"", ""heterogeneity ball"", ""distributionally robust optimization""],
    ""Q4"": ""None""
}"
876,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Robust Individualized Decision Learning"",""Sensitive Variables"", ""Decision Learning Framework"", ""Causal perspective"", ""Quantile-optimal decision rule"", ""Infimum-optimal decision rule""],
    ""Q4"": [""Real-world applications""]
}"
884,"{
    ""Q1"": ""None"", 
    ""Q2"": ""Other aspects of adversarial machine learning"", 
    ""Q3"": [""mechanism design"", ""machine learning"", ""multi-item settings"", ""revenue preservation"", ""truthful multi-item"", ""multi-bidder auctions"", ""limited supply"", ""random unknown fraction"", ""population participation"", ""market shrinkage"", ""market uncertainty"", ""combinatorial construction"", ""winner diagram"", ""probabilistic analysis"", ""possibility result"", ""limited number of winners"", ""efficiently learn an auction""], 
    ""Q4"": [""Industries""]
}"
889,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Spiking neural networks"", ""Local Tandem Learning"", ""Teacher-student learning"", ""CIFAR-10"", ""CIFAR-100"", ""Tiny ImageNet"", ""Neuromorphic computing chips""],
    ""Q4"": [""Analog computing substrates"", ""Ultra-low-power mixed-signal""]
}"
894,"{
    ""Q1"": ""None"",
    ""Q2"": ""None"",
    ""Q3"": [""Sketching"", ""Representations"", ""Robust Image Classification"", ""Provable Guarantees"", ""Synthetic Images"", ""Thresholded Polynomial Functions"", ""Ellipses"", ""Rectangles"", ""Latent Attributes"", ""Similarity Preservation"", ""Indexing"", ""Concepts"", ""Shapes""],
    ""Q4"": []
}"
915,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Instance segmentation"", ""Embedding learning"", ""Discriminative query"", ""Transformation equivariance"", ""Robustness""],
    ""Q4"": ""Not clear""
}"
916,"{
    ""Q1"": ""Evasion attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Adversarial robustness"", ""Ensemble methods"", ""Synergy-of-Experts (SoE)"", ""Vulnerability area""],
    ""Q4"": ""None""
}"
922,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Unsupervised"", ""Movable object segmentation"", ""Detection"", ""Foreground objects"", ""Salient object detection"", ""Self-supervised features"", ""Inpainting network"", ""Adversarial training""],
    ""Q4"": [""None""]
}"
937,"{
    ""Q1"": ""Another type of attack"",
    ""Q2"": ""Specific adversarial attack methods"",
    ""Q3"": [""Untargeted Graph Structure Attacks"", ""Gradient Debias"", ""Cross-entropy loss"", ""node-level classification models"", ""attack objective"", ""budget allocation"", ""gray-box poisoning attack""],
    ""Q4"": ""None""
}"
1012,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Robustness"", ""Visual classification models"", ""Relevancy signal"", ""Foreground object"", ""Foreground mask"", ""Vision Transformer"", ""domain-shifts""],
    ""Q4"": ""None""
}"
940,"{
    ""Q1"": ""None"", 
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Reproducibility"", ""Counterfactual Generative Networks"", ""CGN"", ""High-quality counterfactual images"", ""Disentangling"", ""Shape"", ""Texture"", ""Background"", ""Independent mechanisms"", ""Jointly optimizing"", ""Out-of-distribution performance"", ""Invariance"", ""Classifiers""], 
    ""Q4"": [""Large-scale dataset"", ""Computational cost"", ""1080 Ti GPUs"", ""PyTorch""]
}"
942,"{
  ""Q1"": ""Evasion attack"",
  ""Q2"": ""Specific adversarial defence methods"",
  ""Q3"": [""Deepfake detection"", ""Local low-level cues"", ""Temporal information"", ""Post-processings"", ""Transformer-based"", ""Local Sequence Transformer"", ""3D filters"", ""Contrastive way""],
  ""Q4"": [""Video""]
}"
943,"{
 ""Q1"": ""None"",
 ""Q2"": ""Specific adversarial defence methods"",
 ""Q3"": [""Transformer architecture"", ""Graph-structured data"", ""Node sampling"", ""Graph transformers"", ""Graph neural networks"", ""Graph coarsening"", ""Attention weights"", ""Adversary bandit problem""],
 ""Q4"": ""Not clear""
}"
950,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""CyCLIP"",""contrastive representation learning"",""paired image-text data"",""CLIP"",""zero-shot classification"",""distributional robustness"",""joint reasoning"",""image and text representation spaces"",""downstream inference tasks"",""consistency"",""geometrically consistent"",""image and text space"",""cross-modal consistency"",""in-modal consistency"",""zero-shot classification benchmarks"",""CIFAR-10"",""CIFAR-100"",""ImageNet1K"",""robustness"",""natural distribution shifts""],
    ""Q4"": []
}"
954,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""transient redundancy elimination"", ""convolutional neural networks"", ""CNN"", ""TREC"", ""resource-constrained devices"", ""redundancy detection"", ""redundancy avoidance"", ""CNN architecture"", ""backward propagation""],
    ""Q4"": ""None""
}"
958,"{
""Q1"": ""Evasion attack"",
""Q2"": ""Specific adversarial defence methods"",
""Q3"": [""Federated Learning"", ""Adversarial Robustness"", ""Federated Adversarial Training"", ""Label Skewness"", ""Training Instability"", ""Calibrated Federated Adversarial Training""],
""Q4"": [""Real-world applications""]
}"
959,"{
""Q1"": ""Another type of attack"",
""Q2"": ""Specific adversarial defence methods"",
""Q3"": [ ""machine unlearning"", ""Randomized Gradient Smoothing"", ""Quantization"", ""Certified Machine Unlearning"", ""Certified robustness"", ""classification"", ""Certified radius"", ""data change"", ""data removals"", ""Certified budget"" ],
""Q4"": [""Right to be forgotten""]
}"
986,"{
    ""Q1"":""None"",
    ""Q2"":""Specific adversarial defence methods"",
    ""Q3"":[""Manifold Attention Network"",""EEG Decoding"",""Deep-learning"",""Geometric Learning"",""Brain-computer interfaces"",""Riemannian symmetric positive definite"", ""SPD"",""EEG features"",""non-stationarity of brain dynamics""],
    ""Q4"":""None""
}"
972,"{
    ""Q1"": ""Evasion attack"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""Byzantine Spectral Ranking"",""Rank-Centrality"","" Bradley-Terry-Luce (BTL) model"","" pairwise comparisons"","" malicious Byzantine voters"",""Rank-Centrality algorithm"",""Byzantine Spectral Ranking Algorithm""],
    ""Q4"": ""None""
}"
988,"{
    ""Q1"": ""None"",
    ""Q2"": ""Other aspects of adversarial machine learning"",
    ""Q3"": [""map of elections"", ""vote distributions"", ""frequency matrix"", ""skeleton map"", ""robustness"", ""preference learning""],
    ""Q4"": ""None""
}"
975,"{
    ""Q1"": ""Evasion attack"", 
    ""Q2"": ""Specific adversarial defence methods"", 
    ""Q3"": [""Neural Tangent Kernel"", ""Adversarial robustness"", ""Neural networks"", ""Kernel methods"", ""Deep learning""], 
    ""Q4"": ""Not clear""
}
"
979,"{
  ""Q1"": ""None"",
  ""Q2"": ""Specific adversarial defence methods"",
  ""Q3"": [""Unpaired image-to-image translation"", ""Generative Adversarial Networks (GANs)"", ""Cycle-consistency loss"", ""Cycle-Consistent Adversarial Network (CycleGAN)"", ""Density estimation"", ""Translation errors"", ""Regularization conditions"", ""Cycle-consistency"", ""Reconstruction error"", ""Discrepancy""],
  ""Q4"": ""None""
}"
992,"{
    ""Q1"": ""None"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""algorithm design"", ""prediction"", ""online learning"", ""bipartite matching"", ""ski-rental"", ""page migration"", ""job scheduling""],
    ""Q4"": ""None""
}"
995,"{
    ""Q1"": ""None"", 
    ""Q2"": ""None"", 
    ""Q3"": [""Outlier detection"", ""Hyperparameter sensitivity"", ""Deep learning"", ""Model selection"", ""Hyper-ensemble"", ""Parameter sharing"", ""Batch/simultaneous training"", ""Data subsampling""], 
    ""Q4"": [""Image datasets"", ""Tabular datasets""]
}"
1001,"{
 ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
 ""Q2"": ""Specific adversarial defence methods"",
 ""Q3"": [""Test time robustification"", ""Test time adaptation"", ""Data augmentation"", ""Invariances"", ""Neural networks"", ""Distribution shift"", ""Robustness""],
 ""Q4"": [""ImageNet-C"", ""ImageNet-R"", ""ImageNet-A""]
}"
1002,"{
    ""Q1"": ""Lack of robustness to (not necessarily adversarial) OOD inputs"",
    ""Q2"": ""Specific adversarial defence methods"",
    ""Q3"": [""offline RL"", ""generative adversarial networks (GAN)"", ""distributional shift"", ""support constraint"", ""DASCO"", ""Dual-Generator Adversarial Support Constrained Offline RL""],
    ""Q4"": ""None""
}"
